joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
7.1463185,4.2894155,4.7414247,2.3726126,7.2245165,5.6170836,7.1838394,3.9300414,7.200569,7.1987225,7.1042295,7.2052456
8.925781,7.15533,7.304631,7.2486497,8.069494,7.1606365,7.2554027,7.3872915,7.2388516,7.210408,7.2214952,7.2203074
3.4432217,7.126657,3.718141,6.140023,5.48841,3.373927,6.927331,3.977531,7.2911755,7.214648,6.876736,5.4847466
7.2663375,7.197908,7.2249332,6.2954136,7.2544123,6.5683647,7.2566067,7.139502,7.200181,7.193936,7.199951,7.220203
7.239018,6.872172,6.0810324,7.2205277,4.800069,5.215119,3.474668,7.3182784,7.3232304,7.1658402,7.029121,7.339087
7.2271873,7.300549,7.1919914,7.338292,7.3196674,7.256934,7.324783,7.1723405,7.2000357,7.2638474,7.3677636,7.2194654
7.162112,4.976683,5.3045326,7.161007,3.010198,6.2770144,2.817646,7.191922,4.9723807,4.9056803,2.809576,6.6441675
7.2812825,6.153224,7.249665,7.2221585,7.251631,6.0326167,6.459147,7.237433,7.2029143,7.2066694,7.2090665,7.218975
7.329409,7.241547,7.195153,7.34508,6.4208394,7.207704,7.193374,7.1765533,7.075713,6.3984533,7.214148,7.2033807
3.828152,5.3255807,6.8582364,5.9726015,3.788971,4.3257285,7.1528636,5.4696046,5.0678164,7.782758,7.1801477,6.9745975
2.9109787,3.3304163,4.1198755,1.3777869,0.952733,1.7967132,6.6305333,4.2387224,4.6682817,2.850137,7.2924653,2.126275
2.6390265,2.5068754,3.9597913,6.8880754,2.688208,5.797755,5.124853,6.7400604,4.6700927,7.005845,6.801736,2.904081
5.0938045,3.696475,4.8272573,2.1083559,7.3439046,1.5190769,7.2021304,2.401304,7.200022,4.6672903,7.1990686,4.8921977
4.5892797,7.223383,5.000266,1.901612,7.001036,7.2214986,3.905626,4.512943,7.2011887,7.218411,7.188622,3.656597
5.3949,7.24979,7.3638493,7.2424823,7.1883517,7.2143208,7.197261,7.1884376,7.2022096,7.2044755,7.201466,7.2677766
4.2479573,6.4881273,3.5059033,7.151341,2.4928423,4.3120285,4.586797,5.064559,7.2005797,4.2620502,5.533627,3.299022
7.4242855,7.191634,8.974075,7.3948656,7.2098514,7.1676103,7.1995636,4.724841,7.361714,6.35145,7.210936,7.325359
7.2106367,7.447368,7.5045353,7.4435955,7.1902944,7.196719,7.258284,7.235981,7.200686,7.2230674,7.4522987,8.509147
7.2943054,7.316493,7.2645703,7.241246,7.2041794,7.2123667,7.2555605,7.210825,7.380619,7.217392,8.202385,7.2255307
5.099729,2.9784258,4.036556,5.9717923,6.018701,3.7115203,4.2634464,6.9785815,7.2696825,3.124785,7.215582,5.6956244
7.271777,7.357614,7.210727,7.3879167,7.6393715,7.4595963,7.1842743,7.1984187,7.200301,7.625539,7.3022266,7.2189966
4.6393066,3.633501,5.708834,6.2513844,2.0306479,7.247355,4.8835336,7.135294,4.4570333,6.3280006,7.307808,3.2797183
7.199406,7.262395,7.2989927,5.990037,7.1099154,6.4695908,7.447141,2.2275625,7.2593237,5.927004,7.229531,7.283554
7.26868,7.3929554,6.3551804,3.5138072,7.1525584,5.542181,1.5989734,2.1591908,8.092443,7.9831835,7.2010876,7.261081
7.208264,4.0871283,7.300966,7.1860167,7.235306,7.194374,6.959137,7.2078105,7.20187,7.217108,7.1945225,7.1994287
7.243123,7.410452,7.368,7.2894298,7.2855965,7.3029943,7.2747518,7.252939,7.2795235,7.337579,7.248132,7.293292
7.228474,6.2546926,7.429792,7.1831556,7.090597,6.957444,7.21898,5.845973,7.2013145,7.2013474,7.211716,7.226691
7.1796943,5.27726,2.8974522,7.4123436,7.218217,7.1593276,7.1971293,7.1642285,7.202052,7.2528096,7.1919085,7.2113486
7.3482867,7.3422175,7.3644415,7.1987735,6.8972436,7.301035,7.3552876,6.873496,7.2024084,7.2943,7.242371,7.21676
5.727893,6.0960403,2.9156903,4.3849283,7.3198734,1.9462675,2.1529182,2.0427826,6.5202805,5.847986,7.205178,2.8940693
5.146301,7.184457,6.08424,7.1900645,2.862359,6.272706,3.997339,7.106809,7.200169,3.6984755,5.5680686,3.7512938
4.1248184,4.369829,7.219237,2.7917691,2.8895265,7.162824,4.975769,4.732095,3.4521032,7.2015744,7.2119742,6.4386917
5.78251,3.876475,2.946999,7.285959,5.013116,4.471746,6.241227,7.272921,6.991731,7.199225,5.14495,5.607558
6.5158354,7.642762,7.551192,7.2985035,7.3255535,7.256565,7.2602144,7.2856847,7.200097,7.255367,7.2886983,7.441977
11.921672,7.425999,7.4367763,7.3161417,7.300383,7.461411,7.2484623,7.331627,7.208893,7.2946535,8.290855,7.600054
7.285993,7.275012,5.392951,5.4343735,7.2770554,7.2600075,6.9244276,7.3035027,7.902061,7.323218,7.226558,7.262115
6.7563487,4.9514094,7.1715513,7.1337424,7.1730624,2.6601623,4.720406,7.112864,5.373003,7.2271544,6.5185963,4.159095
7.3085986,7.2718397,7.2500797,7.245405,7.220648,7.2087074,7.5610176,7.200328,7.201294,7.2067715,7.20792,7.213032
3.8236633,6.0546638,5.966091,8.340226,3.5190779,5.031615,5.065608,5.9044887,7.1998406,3.139527,4.2808367,4.3013726
7.313815,7.2728983,7.3151937,7.2749706,7.23128,7.2315727,7.963307,7.2256123,7.2024303,7.212507,7.2395025,7.2523185
4.916831,5.2806903,6.8490563,7.167511,6.610858,7.202614,3.5458613,7.1715656,7.188126,6.292155,7.194017,7.1961146
3.039604,2.4334174,4.0912643,4.7397367,7.149869,7.2136193,7.217728,6.7330357,7.2030164,7.202149,7.2036015,6.2895146
4.993445,7.2203246,7.15719,5.3992024,5.234888,7.2083913,1.8218125,2.2752162,7.1978656,5.648283,12.657692,7.2104293
7.1882854,7.4334336,7.214129,7.275446,7.275926,7.2500506,7.308479,7.140313,7.2046185,7.221607,7.3493925,7.2898937
4.398598,7.1123086,7.4231015,7.510199,7.2029186,6.1413666,7.0058003,7.2147943,7.2017027,7.2172385,7.1652823,7.208519
6.9472757,7.2773467,7.250219,7.3903957,7.1668726,6.425968,7.202901,7.173635,7.2361647,7.2125083,7.734651,7.213673
7.1117936,6.8789326,7.036684,3.7097226,1.9949313,1.6597064,2.813145,6.813777,3.7292977,2.917327,7.198649,6.2904163
7.293438,7.359662,7.0969234,7.2528606,7.2343,7.2665535,7.229453,7.266672,7.258327,7.2303964,7.2069922,7.8639475
7.244671,7.262194,7.256019,7.2734715,7.226752,7.240895,7.2611686,7.2019425,7.2334743,7.2049113,7.237175,7.2601872
7.2470976,3.157219,6.9251305,4.860747,7.2692863,5.050633,3.400661,6.9076158,6.813096,3.0973147,7.198902,7.170492
7.206444,7.243886,7.943983,7.280067,7.226844,7.2167164,7.712567,7.219095,7.1999784,7.28698,7.204194,7.415522
7.257169,7.30082,7.246817,7.2333027,4.7338825,5.355548,3.1683029,7.142532,7.2199775,7.363438,7.20792,5.688542
5.562753,4.1227427,7.179883,4.8699037,5.85694,4.2560836,5.479152,4.9898673,4.0202538,7.1960674,7.3317,7.1982146
4.869551,6.8841997,7.2562414,3.452332,4.1853577,7.1962887,7.130677,4.0160724,3.486284,6.713991,7.255872,7.2043324
5.3925115,7.282016,7.142066,7.1546875,4.2972995,5.6957203,2.1210326,6.0647403,7.2478972,6.9898864,7.2139774,4.223818
7.2738696,7.346483,7.2220627,7.228908,7.27128,7.141188,7.197787,7.244693,7.2032248,7.4696747,7.215191,7.2199427
3.8791758,7.209534,3.9615837,6.5680767,3.5537125,1.9455143,5.443446,7.087663,6.363611,4.733926,6.1015078,4.6476456
7.204421,7.034806,4.8987027,7.148682,7.2007195,6.362771,6.485222,7.208646,7.279632,7.2282606,7.2934185,7.2177044
7.197455,7.2363454,7.3931623,7.267193,7.135381,7.1690947,7.318491,7.20515,6.5794846,7.224579,7.2007576,7.2793633
7.6359535,7.202695,3.280634,7.2231985,4.2170187,5.5610257,7.264007,6.4668957,7.200928,4.716814,7.1892506,7.189869
7.156686,5.4475246,6.068293,3.979302,7.3124033,5.429402,7.201293,4.970818,7.16625,7.1861745,7.201014,7.1942497
7.294343,7.860334,7.289534,7.3894864,7.242655,7.231332,7.243626,7.3196283,7.2070137,7.211082,7.2136045,7.213243
4.153489,3.4439312,7.236796,7.11391,5.9608937,1.8016597,2.5831898,3.8614098,7.243426,3.6867414,6.036271,5.2663723
7.399168,7.266501,21.742574,7.702311,4.959383,4.736684,7.196947,7.219818,7.2556454,7.2163044,7.3613826,7.204582
7.4330097,7.2411095,7.226677,6.1137134,7.232477,7.2056767,7.2314993,7.219928,7.2045895,7.2231275,7.347948,7.740449
6.272173,4.243342,6.83461,7.2522303,2.3343688,1.828889,7.2209774,3.2721475,7.223811,2.2144953,7.170699,5.758402
7.2026006,5.6860014,7.1852237,3.8708063,7.123121,3.9909583,7.201406,2.8988229,7.1581546,5.9279295,7.2041455,2.579175
7.205168,7.257808,7.4033113,7.328318,7.44223,7.3131515,7.236596,7.0156537,7.20457,7.2806207,7.283384,7.319977
6.004143,7.1776367,4.1188746,7.251233,3.6848937,6.1299125,5.9927355,7.2295485,7.2954546,7.200492,7.142251,7.308834
7.258442,7.246516,7.219152,5.9861356,7.199923,7.250256,7.170023,7.3020936,7.2143503,7.20794,7.2384597,9.333869
5.181783,7.3152066,7.3137547,7.218168,6.66131,7.1995073,7.2259494,7.117992,7.1714154,7.2170926,7.808982,8.062149
2.6137963,5.112104,7.2738997,3.3080374,3.1463305,4.645402,6.0285555,1.5119264,7.1267844,7.1899034,7.2112194,3.2072
7.0644437,7.2681914,7.33029,6.9281994,7.2050587,6.2016593,7.216315,6.717664,6.5938045,7.2081624,7.2049576,7.195609
7.2996293,7.3342587,7.28927,7.2203423,7.253915,7.271347,7.1961695,7.2280007,7.2025324,7.2189957,7.2423674,7.1871215
7.199401,7.2847916,7.51491,7.3054434,7.2069117,7.1976477,7.234222,5.525024,7.2128755,7.212641,7.212344,7.4635454
